"venue","row_count","min_year","max_year","flag_reason"
"American Journal of Psychiatry","17","2006","2024","off_domain_venue_name:medicine"
"Developmental Cognitive Neuroscience","17","2018","2024","off_domain_venue_name:life_science"
"Engineering Geology","17","2021","2024","off_domain_venue_name:physical_science"
"Epidemiology","17","1990","2024","off_domain_venue_name:medicine"
"Epidemiology and Psychiatric Sciences","17","2015","2022","off_domain_venue_name:medicine"
"Green Analytical Chemistry","17","2024","2025","off_domain_venue_name:physical_science"
"International Journal of Medical Informatics","17","2019","2025","off_domain_venue_name:medicine"
"Journal of Applied Physics","17","1991","2025","off_domain_venue_name:physical_science"
"Journal of general internal medicine","17","2006","2025","off_domain_venue_name:medicine"
"Journal of Medical Ethics","17","2004","2021","off_domain_venue_name:medicine"
"Medicine & Science in Sports & Exercise","17","1993","2024","off_domain_venue_name:medicine"
"Organic Chemistry Frontiers","17","2021","2025","off_domain_venue_name:physical_science"
"Biological reviews/Biological reviews of the Cambridge Philosophical Society","16","2016","2024","off_domain_venue_name:life_science"
"Biology","16","2021","2025","off_domain_venue_name:life_science"
"Child Psychiatry and Human Development","16","2016","2025","off_domain_venue_name:medicine"
"Classical and Quantum Gravity","16","2009","2025","off_domain_venue_name:physical_science"
"European Journal of Vascular and Endovascular Surgery","16","2022","2025","off_domain_venue_name:medicine"
"Food Chemistry","16","2021","2024","off_domain_venue_name:physical_science"
"Journal of Dental Research","16","2018","2024","off_domain_venue_name:medicine"
"Medical Education","16","2002","2024","off_domain_venue_name:medicine"
"Physics in Medicine and Biology","16","1996","2024","off_domain_venue_name:medicine|physical_science|life_science"
"The Lancet Psychiatry","16","2014","2024","off_domain_venue_name:medicine"
"Atmospheric chemistry and physics","15","2010","2024","off_domain_venue_name:physical_science"
"Clinical and Translational Science","15","2019","2024","off_domain_venue_name:medicine"
"Frontiers in Pediatrics","15","2017","2025","off_domain_venue_name:medicine"
"Infection Control and Hospital Epidemiology","15","1999","2023","off_domain_venue_name:medicine"
"Molecular biology and evolution","15","2011","2020","off_domain_venue_name:life_science"
"Physical review. B./Physical review. B","15","2016","2025","off_domain_venue_name:physical_science"
"Quantum","15","2018","2024","off_domain_venue_name:physical_science"
"Advanced Quantum Technologies","14","2019","2024","off_domain_venue_name:physical_science"
"BMC Biology","14","2021","2024","off_domain_venue_name:life_science"
"Child and Adolescent Psychiatry and Mental Health","14","2018","2025","off_domain_venue_name:medicine"
"Communications Physics","14","2021","2025","off_domain_venue_name:physical_science"
"Comprehensive Psychiatry","14","2020","2025","off_domain_venue_name:medicine"
"Early Intervention in Psychiatry","14","2020","2023","off_domain_venue_name:medicine"
"Food Chemistry X","14","2022","2024","off_domain_venue_name:physical_science"
"International Nursing Review","14","2012","2024","off_domain_venue_name:medicine"
"JCO Global Oncology","14","2020","2025","off_domain_venue_name:medicine"
"Journal of Clinical Child & Adolescent Psychology","14","2010","2024","off_domain_venue_name:medicine"
"Journal of Medical Virology","14","2020","2021","off_domain_venue_name:medicine"
"Journal of Nursing Management","14","2016","2021","off_domain_venue_name:medicine"
"Knee Surgery Sports Traumatology Arthroscopy","14","2024","2024","off_domain_venue_name:medicine"
"Molecular Pharmaceutics","14","2016","2024","off_domain_venue_name:life_science"
"New Journal of Physics","14","2016","2024","off_domain_venue_name:physical_science"
"npj Precision Oncology","14","2021","2024","off_domain_venue_name:medicine"
"Nuclear Engineering and Technology","14","2022","2024","off_domain_venue_name:physical_science"
"Regional Anesthesia & Pain Medicine","14","2016","2021","off_domain_venue_name:medicine"
"The Journal of Clinical Psychiatry","14","2016","2022","off_domain_venue_name:medicine"
"Acta Crystallographica Section D Structural Biology","13","2017","2025","off_domain_venue_name:life_science"
"Arabian Journal of Chemistry","13","2021","2024","off_domain_venue_name:physical_science"
"Frontiers in Genetics","13","2018","2025","off_domain_venue_name:life_science"
"Frontiers in Human Neuroscience","13","2010","2025","off_domain_venue_name:life_science"
"Imaging Neuroscience","13","2024","2025","off_domain_venue_name:life_science"
"Journal of Bone and Joint Surgery","13","2002","2024","off_domain_venue_name:medicine"
"Journal of Computational Physics","13","1997","2024","off_domain_venue_name:physical_science"
"Physical Review E","13","2004","2009","off_domain_venue_name:physical_science"
"Postgraduate Medical Journal","13","1992","2024","off_domain_venue_name:medicine"
"Annals of Medicine and Surgery","12","2020","2024","off_domain_venue_name:medicine"
"Annual Review of Astronomy and Astrophysics","12","2012","2021","off_domain_venue_name:physical_science"
"Archives of Pathology & Laboratory Medicine","12","1999","2024","off_domain_venue_name:medicine"
"BMC Pediatrics","12","2018","2025","off_domain_venue_name:medicine"
"Cell Reports Medicine","12","2020","2024","off_domain_venue_name:medicine"
"Dental Traumatology","12","2024","2025","off_domain_venue_name:medicine"
"Diabetes Research and Clinical Practice","12","2024","2025","off_domain_venue_name:medicine"
"European journal of medical research","12","2024","2024","off_domain_venue_name:medicine"
"Genetics in Medicine","12","2001","2025","off_domain_venue_name:medicine|life_science"
"Inorganic Chemistry Frontiers","12","2024","2025","off_domain_venue_name:physical_science"
"International Journal of Biological Sciences","12","2020","2024","off_domain_venue_name:life_science"
"International Journal of Social Psychiatry","12","2009","2025","off_domain_venue_name:medicine"
"Journal Of Clinical Periodontology","12","1998","2025","off_domain_venue_name:medicine"
"Molecular Cell","12","2024","2025","off_domain_venue_name:life_science"
"PLoS Genetics","12","2009","2024","off_domain_venue_name:life_science"
"The Journal of Organic Chemistry","12","1997","2024","off_domain_venue_name:physical_science"
"Applied Physics Letters","11","1993","2025","off_domain_venue_name:physical_science"
"Biological Psychology","11","2022","2024","off_domain_venue_name:life_science"
"BMC Medical Ethics","11","2021","2025","off_domain_venue_name:medicine"
"European Journal of Cardio-Thoracic Surgery","11","2012","2024","off_domain_venue_name:medicine"
"European Journal of Epidemiology","11","2015","2025","off_domain_venue_name:medicine"
"European Journal of Nuclear Medicine and Molecular Imaging","11","2016","2023","off_domain_venue_name:medicine|physical_science|life_science"
"Frontiers in Cardiovascular Medicine","11","2021","2025","off_domain_venue_name:medicine"
"Frontiers in Computational Neuroscience","11","2021","2025","off_domain_venue_name:life_science"
"Int. J. Medical Informatics","11","2007","2025","off_domain_venue_name:medicine"
"Journal of Child Psychology and Psychiatry","11","2001","2025","off_domain_venue_name:medicine"
"Journal of Clinical Nursing","11","2017","2024","off_domain_venue_name:medicine"
"Materials Science and Engineering R Reports","11","2016","2025","off_domain_venue_name:physical_science"
"Molecular & Cellular Proteomics","11","2018","2024","off_domain_venue_name:life_science"
"Nature reviews. Molecular cell biology","11","2016","2025","off_domain_venue_name:life_science"
"Neuroscience & Biobehavioral Reviews","11","2024","2024","off_domain_venue_name:life_science"
"Nursing Research","11","1991","2021","off_domain_venue_name:medicine"
"Quantum Science and Technology","11","2018","2024","off_domain_venue_name:physical_science"
"Radiology Artificial Intelligence","11","2021","2024","off_domain_venue_name:medicine"
"Reports on Progress in Physics","11","1992","2024","off_domain_venue_name:physical_science"
"Social Psychiatry and Psychiatric Epidemiology","11","2004","2024","off_domain_venue_name:medicine"
"Sports Medicine","11","2016","2024","off_domain_venue_name:medicine"
"Statistics in Medicine","11","1997","2024","off_domain_venue_name:medicine"
"The Lancet Neurology","11","2018","2025","off_domain_venue_name:medicine"
"American Journal of Preventive Cardiology","10","2022","2024","off_domain_venue_name:medicine"
"Annals of Medicine","10","2022","2024","off_domain_venue_name:medicine"
"Biological Psychiatry","10","2016","2024","off_domain_venue_name:medicine|life_science"
"British journal of surgery","10","1997","2024","off_domain_venue_name:medicine"
"Clinical Chemistry","10","1993","2025","off_domain_venue_name:medicine|physical_science"
"Clinical Gastroenterology and Hepatology","10","2020","2025","off_domain_venue_name:medicine"
"European Journal of Radiology","10","2018","2025","off_domain_venue_name:medicine"
"Frontiers in Physics","10","2014","2025","off_domain_venue_name:physical_science"
"Issues in Mental Health Nursing","10","2003","2020","off_domain_venue_name:medicine"
"Journal of Biological Chemistry","10","1992","2024","off_domain_venue_name:physical_science|life_science"
"Journal of Chemical Education","10","2024","2024","off_domain_venue_name:physical_science"
"Journal of Child Psychology and Psychiatry and Allied Disciplines","10","2013","2023","off_domain_venue_name:medicine"
"Journal of Energy Chemistry","10","2023","2025","off_domain_venue_name:physical_science"
"Journal of Family Medicine and Primary Care","10","2015","2026","off_domain_venue_name:medicine"
"Journal of Internal Medicine","10","2020","2022","off_domain_venue_name:medicine"
"Journal of Materials Chemistry B","10","2024","2024","off_domain_venue_name:physical_science"
"Modern Physics Letters B","10","2021","2024","off_domain_venue_name:physical_science"
"Occupational and Environmental Medicine","10","2017","2024","off_domain_venue_name:medicine"
"Physics of the Dark Universe","10","2024","2025","off_domain_venue_name:physical_science"
"Physics Today","10","1993","2024","off_domain_venue_name:physical_science"
"Polymer Chemistry","10","2019","2024","off_domain_venue_name:physical_science"
"Academic medicine : journal of the Association of American Medical Colleges","9","2001","2021","off_domain_venue_name:medicine"
"American Journal of Clinical Dermatology","9","2024","2024","off_domain_venue_name:medicine"
"BMC Pulmonary Medicine","9","2012","2025","off_domain_venue_name:medicine"
"Clinical Cancer Research","9","2007","2021","off_domain_venue_name:medicine"
"Clinical Chemistry and Laboratory Medicine (CCLM)","9","2020","2024","off_domain_venue_name:medicine|physical_science"
"Clinical Psychology Review","9","2019","2022","off_domain_venue_name:medicine"
